pid,creator,age,filenames,filepaths,flexibility_manual,flexibility_categories
570,adults,,"570__8598_9.jpg, 570__8599_11.jpg, 570__8605_56.jpg","../data/adults/stimuli_G/570__8598_9.jpg, ../data/adults/stimuli_I/570__8599_11.jpg, ../data/adults/stimuli_R/570__8605_56.jpg",1,2
575,adults,,"575__8622_9.jpg, 575__8623_11.jpg, 575__8629_56.jpg","../data/adults/stimuli_G/575__8622_9.jpg, ../data/adults/stimuli_I/575__8623_11.jpg, ../data/adults/stimuli_R/575__8629_56.jpg",1,2
577,adults,,"577__8634_9.jpg, 577__8635_11.jpg, 577__8641_56.jpg","../data/adults/stimuli_G/577__8634_9.jpg, ../data/adults/stimuli_I/577__8635_11.jpg, ../data/adults/stimuli_R/577__8641_56.jpg",0,1
583,adults,,"583__8658_9.jpg, 583__8659_11.jpg, 583__8665_56.jpg","../data/adults/stimuli_G/583__8658_9.jpg, ../data/adults/stimuli_I/583__8659_11.jpg, ../data/adults/stimuli_R/583__8665_56.jpg",1,1
584,adults,,"584__8670_9.jpg, 584__8671_11.jpg, 584__8677_56.jpg","../data/adults/stimuli_G/584__8670_9.jpg, ../data/adults/stimuli_I/584__8671_11.jpg, ../data/adults/stimuli_R/584__8677_56.jpg",2,2
587,adults,,"587__8693_9.jpg, 587__8694_11.jpg, 587__8699_56.jpg","../data/adults/stimuli_G/587__8693_9.jpg, ../data/adults/stimuli_I/587__8694_11.jpg, ../data/adults/stimuli_R/587__8699_56.jpg",1,1
588,adults,,"588__8704_9.jpg, 588__8705_11.jpg, 588__8711_56.jpg","../data/adults/stimuli_G/588__8704_9.jpg, ../data/adults/stimuli_I/588__8705_11.jpg, ../data/adults/stimuli_R/588__8711_56.jpg",0,1
590,adults,,"590__8728_9.jpg, 590__8729_11.jpg, 590__8735_56.jpg","../data/adults/stimuli_G/590__8728_9.jpg, ../data/adults/stimuli_I/590__8729_11.jpg, ../data/adults/stimuli_R/590__8735_56.jpg",1,1
591,adults,,"591__8740_9.jpg, 591__8741_11.jpg, 591__8747_56.jpg","../data/adults/stimuli_G/591__8740_9.jpg, ../data/adults/stimuli_I/591__8741_11.jpg, ../data/adults/stimuli_R/591__8747_56.jpg",1,0
592,adults,,"592__8752_9.jpg, 592__8753_11.jpg, 592__8759_56.jpg","../data/adults/stimuli_G/592__8752_9.jpg, ../data/adults/stimuli_I/592__8753_11.jpg, ../data/adults/stimuli_R/592__8759_56.jpg",0,0
594,adults,,"594__8774_9.jpg, 594__8775_11.jpg, 594__8781_56.jpg","../data/adults/stimuli_G/594__8774_9.jpg, ../data/adults/stimuli_I/594__8775_11.jpg, ../data/adults/stimuli_R/594__8781_56.jpg",2,2
598,adults,,"598__8786_9.jpg, 598__8787_11.jpg, 598__8793_56.jpg","../data/adults/stimuli_G/598__8786_9.jpg, ../data/adults/stimuli_I/598__8787_11.jpg, ../data/adults/stimuli_R/598__8793_56.jpg",2,2
601,adults,,"601__8798_9.jpg, 601__8799_11.jpg, 601__8805_56.jpg","../data/adults/stimuli_G/601__8798_9.jpg, ../data/adults/stimuli_I/601__8799_11.jpg, ../data/adults/stimuli_R/601__8805_56.jpg",2,2
607,adults,,"607__8830_9.jpg, 607__8831_11.jpg, 607__8837_56.jpg","../data/adults/stimuli_G/607__8830_9.jpg, ../data/adults/stimuli_I/607__8831_11.jpg, ../data/adults/stimuli_R/607__8837_56.jpg",2,2
614,adults,,"614__8854_9.jpg, 614__8855_11.jpg, 614__8861_56.jpg","../data/adults/stimuli_G/614__8854_9.jpg, ../data/adults/stimuli_I/614__8855_11.jpg, ../data/adults/stimuli_R/614__8861_56.jpg",2,2
618,adults,,"618__8898_9.jpg, 618__8899_11.jpg, 618__8904_56.jpg","../data/adults/stimuli_G/618__8898_9.jpg, ../data/adults/stimuli_I/618__8899_11.jpg, ../data/adults/stimuli_R/618__8904_56.jpg",1,2
625,adults,,"625__8917_9.jpg, 625__8918_11.jpg, 625__8924_56.jpg","../data/adults/stimuli_G/625__8917_9.jpg, ../data/adults/stimuli_I/625__8918_11.jpg, ../data/adults/stimuli_R/625__8924_56.jpg",0,0
632,adults,,"632__8941_9.jpg, 632__8942_11.jpg, 632__8948_56.jpg","../data/adults/stimuli_G/632__8941_9.jpg, ../data/adults/stimuli_I/632__8942_11.jpg, ../data/adults/stimuli_R/632__8948_56.jpg",2,2
